city_full,lat,lng
"Atlanta-Sandy Springs-Roswell, GA",33.7338,-84.3922
"Pittsburgh, PA",40.4744,-79.8632
"Tampa-St. Petersburg-Clearwater, FL",28.1538,-82.405
"Dallas-Fort Worth-Arlington, TX",32.8495,-96.9704
"St. Louis, MO-IL",38.7352,-90.3501
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.9056,-75.302
"Cincinnati, OH-KY-IN",39.0811,-84.4646
"Charlotte-Concord-Gastonia, NC-SC",35.1686,-80.7954
"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8446,-77.5092
"New York-Newark-Jersey City, NY-NJ",40.7222,-74.0225
"Orlando-Kissimmee-Sanford, FL",28.4343,-81.363
"Denver-Aurora-Centennial, CO",39.4337,-104.8944
"Portland-Vancouver-Hillsboro, OR-WA",45.5984,-122.4783
"San Francisco-Oakland-Fremont, CA",37.7809,-122.1668
"San Diego-Chula Vista-Carlsbad, CA",33.0343,-116.735
"Boston-Cambridge-Newton, MA-NH",42.5584,-71.1007
"Austin-Round Rock-San Marcos, TX",30.2622,-97.6544
"Baltimore-Columbia-Towson, MD",39.3386,-76.5807
"Seattle-Tacoma-Bellevue, WA",47.5574,-121.8506
"Sacramento-Roseville-Folsom, CA",38.7805,-120.9972
"San Antonio-New Braunfels, TX",29.4287,-98.6023
"Chicago-Naperville-Elgin, IL-IN",41.6675,-87.9597
"Phoenix-Mesa-Chandler, AZ",33.1859,-112.0707
"Riverside-San Bernardino-Ontario, CA",34.5517,-116.1297
"Houston-Pasadena-The Woodlands, TX",29.8422,-95.3855
"Los Angeles-Long Beach-Anaheim, CA",34.2215,-118.1494
"Detroit-Warren-Dearborn, MI",42.7196,-83.2329
"Miami-Fort Lauderdale-West Palm Beach, FL",26.1573,-80.5059
"Las Vegas-Henderson-North Las Vegas, NV",36.2152,-115.0135
"Minneapolis-St. Paul-Bloomington, MN-WI",45.1034,-93.2753
